Estado,Ubicacion,Precio_MXN,Recamaras,Banos,Superficie_m2,URL_Propiedad,Latitud,Longitud,Direccion_Buscada
Aguascalientes,"Casa en venta, , Col. Gremial, Aguascalientes, Aguascalientes, México, C.P. 20030, ID: 29607219",1900000.0,4.0,2.0,204.0,https://propiedades.com/inmuebles/casa-en-venta-gremial-aguascalientes-29607219,,,
Aguascalientes,"Casa en venta, , Col. Residencial Antiguo Country, Jesús María, Aguascalientes, México, C.P. 20983, ID: 29607424",4750000.0,3.0,2.0,140.0,https://propiedades.com/inmuebles/casa-en-venta-residencial-antiguo-country-aguascalientes-29607424,,,
Aguascalientes,"Se vende casa Arroyo de La Canadá 111, Los Arroyitos, 20923 Jesús María, Ags. #111, Col. Las Culebras, Jesús María, Aguascalientes, México, C.P. 20923, ID: 30444509",690000.0,4.0,3.0,240.0,https://propiedades.com/inmuebles/casa-en-venta-arroyo-de-la-canada-111-los-arroyitos-20923-jesus-maria-ags-111-las-culebras-aguascalientes-30444509,,,
Aguascalientes,"Se vende casa Fracc.Grand Natura, Cam. Real s/n, 20200 Aguascalientes, Ags. #s/n, Col. Vergel de la Cantera, Aguascalientes, Aguascalientes, México, C.P. 20200, ID: 30966213",4690000.0,4.0,3.0,210.0,https://propiedades.com/inmuebles/casa-en-venta-fraccgrand-natura-cam-real-sn-20200-aguascalientes-ags-sn-vergel-de-la-cantera-aguascalientes-30966213,,,
Aguascalientes,"Casa disponible en venta en , Col. Real Campestre, Jesús María, Aguascalientes, México, C.P. 20923, ID: 29607356",1980000.0,3.0,2.0,112.0,https://propiedades.com/inmuebles/casa-en-venta-real-campestre-aguascalientes-29607356,,,
Aguascalientes,"Venta de casa en Av. Eugenio Garza Sada, Col. Los Pocitos, Aguascalientes, Aguascalientes, México, C.P. 20328, ID: 30767726",4800000.0,4.0,4.0,225.0,https://propiedades.com/inmuebles/casa-en-venta-av-eugenio-garza-sada-los-pocitos-aguascalientes-30767726,,,
Aguascalientes,"Casa en venta disponible en Valle de la Misión, Col. Trojes del Sol, Aguascalientes, Aguascalientes, México, C.P. 20118, ID: 30902955",12250000.0,4.0,4.0,420.0,https://propiedades.com/inmuebles/casa-en-venta-valle-de-la-mision-trojes-del-sol-aguascalientes-30902955,,,
Aguascalientes,"Venta de casa Avenida Aguascalientes Norte, Col. Residencial Pulgas Pandas Norte, Aguascalientes, Aguascalientes, México, C.P. 20138, ID: 29786027",7300000.0,5.0,5.0,317.0,https://propiedades.com/inmuebles/casa-en-venta-avenida-aguascalientes-norte-residencial-pulgas-pandas-norte-aguascalientes-29786027,,,
Aguascalientes,"Venta de casa Arroyo el molino, Col. Los Calicantos, Aguascalientes, Aguascalientes, México, C.P. 20119, ID: 30504164",7828000.0,3.0,4.0,300.0,https://propiedades.com/inmuebles/casa-en-venta-arroyo-el-molino-los-calicantos-aguascalientes-30504164,,,
Aguascalientes,"Casa en venta disponible en Mamposteo, Col. Residencial Santa Clara, Aguascalientes, Aguascalientes, México, C.P. 20118, ID: 30737453",20000000.0,4.0,4.0,825.0,https://propiedades.com/inmuebles/casa-en-venta-mamposteo-residencial-santa-clara-aguascalientes-30737453,,,
Aguascalientes,"Casa disponible en venta en Privada Araucaria, Col. Hacienda el Cobano, Aguascalientes, Aguascalientes, México, C.P. 20158, ID: 30721058",3300000.0,3.0,3.0,220.0,https://propiedades.com/inmuebles/casa-en-venta-privada-araucaria-hacienda-el-cobano-aguascalientes-30721058,,,
Aguascalientes,"Casa en venta disponible en , Col. El Tanque de los Jimenez, Aguascalientes, Aguascalientes, México, C.P. 20375, ID: 30960211",8690000.0,4.0,2.0,317.0,https://propiedades.com/inmuebles/casa-en-venta-el-tanque-de-los-jimenez-aguascalientes-30960211,,,
Aguascalientes,"Se vende casa en , Col. Villa de Nuestra Señora de La Asunción Sector Encino, Aguascalientes, Aguascalientes, México, C.P. 20126, ID: 30468099",2385000.0,3.0,2.0,119.0,https://propiedades.com/inmuebles/casa-en-venta-villa-de-nuestra-senora-de-la-asuncion-sector-encino-aguascalientes-30468099,,,
Aguascalientes,"Venta de casa , Col. Xaramá Entorno Residencial, Aguascalientes, Aguascalientes, México, C.P. 20326, ID: 29607289",3150000.0,2.0,2.0,120.0,,,,
Aguascalientes,"Av. La Querencia #304, Col. Las Plazuelas, Aguascalientes, Aguascalientes, México, C.P. 20329, ID: 29360198",4700000.0,3.0,3.0,253.0,https://propiedades.com/inmuebles/casa-en-venta-av-la-querencia-304-las-plazuelas-aguascalientes-29360198,,,
Aguascalientes,"Venta de casa en , Col. La Perla Norte, Aguascalientes, Aguascalientes, México, C.P. 20123, ID: 30564143",4460000.0,3.0,2.0,212.0,https://propiedades.com/inmuebles/casa-en-venta-la-perla-norte-aguascalientes-30564143,,,
Aguascalientes,"Se vende casa en AVE PASEOS DE AGS. #241, Col. Viñedos Eva (Fraccionamiento Paso Blanco), Jesús María, Aguascalientes, México, C.P. 20907, ID: 29356900",2052000.0,3.0,3.0,91.0,,,,
Aguascalientes,"Blvd. Juan Pablo II, Col. Porta Canteras, Aguascalientes, Aguascalientes, México, C.P. 20200, ID: 28873418",2650000.0,3.0,2.0,170.0,https://propiedades.com/inmuebles/casa-en-venta-blvd-juan-pablo-ii-porta-canteras-aguascalientes-28873418,,,
Aguascalientes,"Venta de casa en , Col. Misión del Campanario, Aguascalientes, Aguascalientes, México, C.P. 20118, ID: 29607248",5700000.0,3.0,3.0,215.0,,,,
