ano,estado,municipio,pcu,tipo_vivienda,viviendas,clave_municipio,clave_estado
2016,Michoacán de Ocampo,Lázaro Cárdenas,U3,Horizontal,36,052,16
2016,Veracruz de Ignacio de la Llave,Huatusco,U2,Horizontal,2,071,30
2015,Sonora,Guaymas,U2,Horizontal,445,029,26
2016,Chiapas,Tapachula,U1,Horizontal,9,089,07
2015,Durango,Gómez Palacio,U2,Vertical,80,007,10
2017,Jalisco,San Pedro Tlaquepaque,U1,Horizontal,28,098,14
2016,Aguascalientes,Pabellón de Arteaga,U2,Horizontal,32,006,01
2017,Jalisco,El Arenal,FC,Horizontal,7,009,14
2017,Guerrero,Ometepec,U2,Horizontal,2,046,12
2015,Yucatán,Tizimín,U2,Horizontal,2,096,31
2016,Aguascalientes,Aguascalientes,FC,Horizontal,83,001,01
2017,Guanajuato,León,FC,Horizontal,238,020,11
2017,México,Tonanitla,U3,Vertical,24,125,15
2016,Veracruz de Ignacio de la Llave,Cosoleacaque,U2,Vertical,168,048,30
2015,Yucatán,Motul,U3,Horizontal,10,052,31
2015,Querétaro,Tequisquiapan,U1,Horizontal,4,017,22
2015,Hidalgo,Acatlán,FC,Horizontal,3,001,13
2017,Baja California Sur,Comondú,U2,Horizontal,16,001,03
2015,Guanajuato,Uriangato,U2,Horizontal,23,041,11
2017,Chihuahua,Aquiles Serdán,U3,Horizontal,99,004,08
2016,San Luis Potosí,San Luis Potosí,U2,Horizontal,1923,028,24
2017,Guanajuato,Acámbaro,U1,Horizontal,2,002,11
2016,Aguascalientes,Calvillo,FC,Horizontal,3,003,01
2015,Coahuila de Zaragoza,San Pedro,U2,Horizontal,146,033,05
2017,Veracruz de Ignacio de la Llave,Poza Rica de Hidalgo,U2,Horizontal,104,131,30
2016,Puebla,Tehuacán,U2,Horizontal,298,156,21
2017,Sinaloa,Mazatlán,U2,Vertical,40,012,25
2017,Guanajuato,Salvatierra,U2,Vertical,3,028,11
2015,México,Cuautitlán,U2,Vertical,5,024,15
2016,Jalisco,Zapopan,FC,Horizontal,746,120,14
2015,Nuevo León,Pesquería,U2,Horizontal,3519,041,19
2015,Zacatecas,Juan Aldama,U2,Horizontal,100,022,32
2016,Veracruz de Ignacio de la Llave,San Andrés Tuxtla,U3,Horizontal,2,141,30
