ano,estado,municipio,pcu,tipo_vivienda,viviendas,clave_municipio,clave_estado
2016,Michoacán de Ocampo,Tarímbaro,U2,Horizontal,14,088,16
2017,Chihuahua,Nuevo Casas Grandes,U1,Horizontal,26,050,08
2016,Veracruz de Ignacio de la Llave,Emiliano Zapata,U2,Horizontal,32,065,30
2015,Chiapas,Cintalapa de Figueroa,U3,Horizontal,3,017,07
2017,Michoacán de Ocampo,Lázaro Cárdenas,U2,Horizontal,116,052,16
2017,Veracruz de Ignacio de la Llave,Cosoleacaque,U3,Vertical,16,048,30
2017,Tamaulipas,Altamira,U3,Horizontal,70,003,28
2017,Sinaloa,Mazatlán,U3,Vertical,168,012,25
2015,Durango,Vicente Guerrero,U3,Horizontal,7,038,10
2015,Tlaxcala,Calpulalpan,U1,Horizontal,8,006,29
2015,Hidalgo,Pachuca de Soto,FC,Horizontal,170,048,13
2015,Nuevo León,Ciénega de Flores,U2,Horizontal,2494,012,19
2017,Chiapas,Berriozábal,U2,Horizontal,37,012,07
2016,Sinaloa,Mazatlán,FC,Horizontal,60,012,25
2016,Oaxaca,San Francisco Lachigoló,FC,Horizontal,3,145,20
2015,Chihuahua,Meoqui,U2,Horizontal,37,045,08
2017,México,Coacalco de Berriozábal,U1,Horizontal,1,020,15
2017,Hidalgo,Santiago Tulantepec de Lugo Guerrero,U1,Horizontal,4,056,13
2015,Michoacán de Ocampo,Maravatío,U2,Horizontal,4,050,16
2016,Guanajuato,Apaseo el Grande,U2,Vertical,528,005,11
2016,Oaxaca,Guadalupe Etla,FC,Horizontal,4,033,20
2016,Jalisco,Jocotepec,U3,Horizontal,114,050,14
2015,Jalisco,La Barca,FC,Horizontal,10,018,14
2015,Guanajuato,San Miguel de Allende,FC,Horizontal,287,003,11
2016,Guanajuato,León,U1,Vertical,52,020,11
2015,México,Huixquilucan,U2,Vertical,152,037,15
2016,Nuevo León,Juárez,U2,Horizontal,6145,031,19
2015,Jalisco,Sayula,U3,Horizontal,232,082,14
2016,Guanajuato,San José Iturbide,U3,Horizontal,170,032,11
2015,Querétaro,San Juan del Río,U1,Horizontal,2,016,22
2017,Guanajuato,San Miguel de Allende,U3,Horizontal,30,003,11
2015,Tlaxcala,Papalotla de Xicohténcatl,U2,Vertical,96,041,29
2017,Quintana Roo,Bacalar,FC,Horizontal,1,010,23
2016,Baja California Sur,La Paz,U2,Horizontal,1009,003,03
2016,San Luis Potosí,San Luis Potosí,U1,Horizontal,439,028,24
2016,Hidalgo,Mineral de la Reforma,U2,Vertical,1055,051,13
2015,Quintana Roo,Solidaridad,U3,Vertical,291,008,23
